      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10] [,11] [,12] [,13] [,14] [,15] [,16] [,17] [,18] [,19] [,20] [,21] [,22] [,23] [,24] [,25] [,26] [,27] [,28]
 [1,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0    0     0     0     0     0     0     0     0     0     0     0     0
 [2,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0    0     0     0     0     0     0     0     0     0     0     0     0
 [3,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0
 [4,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0
 [5,]    0    0    0    0    0    0    0    0    0     0     0     2    18    14     0     0	0     0     0     0     0     0     0     0     0     0     0     0
 [6,]    0    0    0    0    0    0    0    0    0    15    94   163   254   232    64    80  254   174   172    61     0     0     0     0     0     0     0     0
 [7,]    0    0    0    0    0    0    0    0   60   206   254   254   254   254   254   254  254   254   254   191    72    16     0     0     0     0     0     0
 [8,]    0    0    0    0    0    0    0   86  212   254   254   254   254   254   254   254  254   254   254   254   254   179    13     0     0     0     0     0
 [9,]    0    0    0    0    0   13  114  243  254   254   254   254   254   254   186   240   29    89   254   254   254   254    86     0     0     0     0     0
[10,]    0    0    0    0    8  182  254  254  254   254   200    29    29    29     7    24    0    67   202   254   254   254   250    18     0     0     0     0
[11,]    0    0    0    0   76  254  254  254  254   202    12     0     0     0     0     0	0     0   147   254   254   254   254    30     0     0     0     0
[12,]    0    0    0    0  146  254  254  254  194    66     0     0     0     0     0     0	0     0   147   254   254   254   254   137     0     0     0     0
[13,]    0    0    0    0  254  254  254  254   48     0     0     0     0     0     0     0	0     0    45   109   254   254   254   137     0     0     0     0
[14,]    0    0    0    0  255  254  254  254   48     0     0     0     0     0     0     0	0     0     0    83   254   254   254   192     0     0     0     0
[15,]    0    0    0    0  254  254  254  233   34     0     0     0     0     0     0     0	0     0    11   199   254   254   217    86     0     0     0     0
[16,]    0    0    0    0  255  254  254  243   41     0     0     0     0     0     0     0	0     0    29   254   254   254   246    72     0     0     0     0
[17,]    0    0    0    0  146  254  254  254   48     0     0     0     0     0     0     0	0   128   200   254   254   254   151     1     0     0     0     0
[18,]    0    0    0    0   19  254  254  254  209    21     0     0     0     0     0     0   83   252   254   254   254   231    32     0     0     0     0     0
[19,]    0    0    0    0   15  243  254  254  254   161    16     0     0     0     0    25  254   254   254   254   254    54     0     0     0     0     0     0
[20,]    0    0    0    0    0   70  239  254  254   254   209    48    48    75   166   240  254   254   254   243   104    15     0     0     0     0     0     0
[21,]    0    0    0    0    0    0   86  254  254   254   254   254   254   254   254   254  254   212   171    85     0     0     0     0     0     0     0     0
[22,]    0    0    0    0    0    0   11   86  171   245   254   254   254   254   254   254  153    76     0     0     0     0     0     0     0     0     0     0
[23,]    0    0    0    0    0    0    0    0    0    31   150   254   254   254   224   153	0     0     0     0     0     0     0     0     0     0     0     0
[24,]    0    0    0    0    0    0    0    0    0     0     1    17    17    17    12     0	0     0     0     0     0     0     0     0     0     0     0     0
[25,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0
[26,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0
[27,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0
[28,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0	0     0     0     0     0     0     0     0     0     0     0     0



